compute-652-1
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 22:53:45 2015

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 8388608 kilobytes.
	Command line used: /opt/iozone/bin/iozone -Ra -g 8G -b 652_8.xls -f 652_8.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
"32768"   0  0  0  0  1869159  2016481  1728013  1807389  1852556  1904119  1732566  1832353  1962746 
"65536"   0  0  0  0  1896130  2159906  2118081  1987867  1991308  2156991  2172934  2206670  2073723 
"131072"   0  0  0  0  2129938  2131077  2206562  2273890  2314656  2295519  2204925  2194372  2212263 
"262144"   0  0  0  0  2204429  2330709  2169779  2331514  2340468  2192149  2326773  2337795  2193216 
"524288"   0  0  0  0  2238661  2339192  2334891  2347761  2383713  2373115  2358629  2343532  2236932 
"1048576"   0  0  0  0  2527359  2303767  2295779  2327345  2373449  2390657  2387979  2401202  2235393 
"2097152"   0  0  0  0  2333108  2650609  2425084  2414560  2449755  2376739  2609241  2386675  2320343 
"4194304"   0  0  0  0  2496297  2602309  2688184  2689223  2778332  2397095  2385657  2353802  2485467 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   2467108  4018152  3738358  4564786  4988978 
"128"   3657016  9129573  4267461  4557257  9795896  4759253 
"256"   7735574  4652146  9518507  4572895  6554972  6249745  9114515 
"512"   4099771  4732165  5278892  5566231  5744919  5624545  4262523  5566231 
"1024"   7472033  5472650  5071963  5251818  5507740  8750850  5120336  4995276  5277632 
"2048"   4293237  7470770  5119743  5475461  5475461  5044577  4481379  5044577  5172149  5306340 
"4096"   3679713  5211065  5225329  4659824  5204750  5404504  5019235  5151685  5145513  4780411  4487004 
"8192"   7788135  5371390  5181053  5056765  10291026  5368033  5117011  4548665  5557305  4505719  5309142  4824582 
"16384"   3524110  4443604  4381835  4617994  5039634  4480106  4208481  4193329  4156301  4818765  4134296  5030411  4161586 
"32768"   0  0  0  0  4015183  4832286  3749650  3477107  4332633  6073896  3945562  6663123  4947619 
"65536"   0  0  0  0  4768642  5939478  4425747  6135831  5961117  5832110  5293768  6258204  4600020 
"131072"   0  0  0  0  6783189  6314836  5414190  6278273  6703047  6717134  5657215  6646964  4487699 
"262144"   0  0  0  0  7333118  6958  10852  6090134  6484353  11336  10747  6283720  12146 
"524288"   0  0  0  0  10449  6877518  10825  9977  10705  10475  6677206  11448  11556 
"1048576"   0  0  0  0  10943  10529  10650  10770  11215  10526  11300  11398  11530 
"2097152"   0  0  0  0  10528  11379  10772  9547  10977  11342  11384  11316  11485 
"4194304"   0  0  0  0  9704  10540  11063  9957  10187  10380  10761  10872  0 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   3738358  4897948  4564786  4988978  5860307 
"128"   4012317  10567140  4596273  4934216  11470204  5074121 
"256"   7965107  3935921  10245071  10245071  4929815  10651598  9778562 
"512"   4485083  5566231  5822804  5684095  5886650  5684095  5227492  5744919 
"1024"   7631350  5277632  4898425  5690162  5958564  8988941  4972145  5303701  5144870 
"2048"   4472047  6261772  4934459  5564129  5920802  5659442  4751580  5238385  5267294  5225638 
"4096"   3764373  5664678  4875373  4841028  5291314  5490871  5184332  4801789  5101205  4893426  4505833 
"8192"   7952160  5498608  5417973  4838850  10543659  5498608  5221205  4471708  5830794  4561346  5688881  4902367 
