compute-431-3
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 23:32:54 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 431_3.xls -f 431_3.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
           65536     128 1957585 2529664  5236586  6731955 6647301 2981619 5297543  6408783  6258204  2690639  2488848 5841033  6823194
           65536     256 2062118 2588820  5082631  6292444 6263623 3060121 4814243  5730586  6149558  2620185  2503970 5254203  6207748
           65536     512 2161978 2686117  5459906  6358380 6306302 3078974 5905281  5375764  6293020  2717183  2570446 5450487  6347954
           65536    1024 2107946 2585144  5340773  6413868 6384372 3108184 5221169  5451784  6227297  2132989  2115229 5893506  6308184
           65536    2048 2061669 2703527  5692844  6323421 6267193 3030166 5117644  5375343  6346635  1946137  1875393 5736685  6309487
           65536    4096 1924971 2387381  5043556  6296191 6197251 3011080 5861835  4851288  8435510  1861234  1837077 5917485  6148457
           65536    8192 1665757 2177133  4033969  4173238 4127431 2371235 3904415  2954062  4368494  1904288  1826433 3991732  4339528
           65536   16384 1847436 2139963  4014468  4147610 4146546 2456552 3895175  2804739  3854105  2212941  2135126 4140737  4145233
          131072      64 2196433 2575284  6054992  7093824 6879015 2891369 6326754  6525848  6844159  2695623  2582337 6341496  7092634
          131072     128 2130491 2627433  6273473  6712705 6577221 2971672 6313386  6470166  6704763  2684252  2517325 6178572  6828432
          131072     256 2197425 2639556  6125972  6251359 6210470 3014461 5876862  5881892  6219604  2634875  2620232 5661352  6320063
          131072     512 2186465 2685353  5899629  6271111 6232366 3049678 5788865  5580835  6232648  2698892  2602754 6110312  6363960
          131072    1024 2122381 2702740  6267751  5699561 5609764 2885072 5826226  5352254  6226084  2129171  2085411 5846177  6382208
          131072    2048 2131490 2691414  5860323  6450730 6406528 3080420 5671163  5372234  6323989  1920216  1913459 5917728  6393416
          131072    4096 2215811 2679529  5665786  5804266 6297620 2967709 6016360  4937195  6065882  1832972  1786988 5732905  6194026
          131072    8192 1832428 2182091  4210210  4307053 4334389 2449577 4039328  3035751  4254325  1830921  1803336 4064112  4280060
          131072   16384 1836205 2270866  4109100  4095234 4120341 2456824 4057963  2825987  3931972  2013640  2014039 4145477  4138954
          262144      64 2144958 2674203  6893066  7120598 6846069 2880453 6549826  5912694  6820630  2719249  2629751   88546  5791298
          262144     128 2251534 2687748  6773402  6254019 6235116 2997097 6382868  6573321  6743078  2735397  2660929 5310321  5417092
          262144     256 2169724 2754682  6085920  6361044 6303787 3069676 6185691  5786086  6242833  2678764  2627878 4764352  4891940
          262144     512 2211772 2731659  6076167  6352701 5996241 2983151 6134441  5220733  5789011  2642607  2556725 6049522  6342221
          262144    1024 2263022 2695649  6140059  6382682 6360087 3080858 6052319  5457938  6342843  2153823  2113503 6142220  6370626
          262144    2048 2255895 2699341  6316570  6414108 6405775 3053980 6249255  5434281  6027402  1881125  1777658 6013031  6419613
          262144    4096 2205446 2694512  6114859  6315808 6266458 3056611 5981757  4818197  5755827  1801713  1760396  112962  5194760
          262144    8192 1903554 2251691  4333327  4431927 4417220 2342143 4320760  3007591  4067146  1768389  1753929 4373731  4417646
          262144   16384 1883232 2220299  4241406  4258012 4256545 2427237 4095735  2786156  3648186  1876223  1891998  110797  3719721
          524288      64 2171701 2346804  5538406  5640288 5438956 2595447 5335352  6371915  5280797  2364841  2370498 5443587  5610299
          524288     128 2232923 2799681  6750195  6897256 6751417 3056555 6584714  6523669  6659311  2654809  2660066   95002  5545781
          524288     256 2230622 2784325    54397  5374498 6117356 3121281   19033  5901884  4774415  1922131  2381006   88791  5355832
          524288     512 2264245 2821771  6102485  6113070 6247920 3043143 6297375  5477704  6224188  2653870  2603125 5952463  6299485
          524288    1024 2291368 2744488  6170413  6401650 6394464 3062609 6149362  5381179  6381067  2144117  2112548 6187236  6398911
          524288    2048 2255438 2759732  6221071  6416462 6396957 3065435 6176167  5347470  6222691  1936285  1903394 6225580  6403365
          524288    4096 2231344 2680739  6046724  6297988 6300857 3038996 6185548  5216483  6270565  1826106  1797157   99471  5155288
          524288    8192 1912558 2252987  4323604  4391206 4401719 2456510 4297050  2999087  4207024  1759639  1778369 4297436  4401604
          524288   16384 1934826 2276563  4069101  4103368 4135315 2430926 4235571  2864636  4077113  1885481  1871748 4169880  4215209

iozone test complete.
Excel output is below:

"Writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   610350  1033216  1083249  1105556  1124074 
"128"   1015251  1471662  1111981  1175271  1048974  1306873 
"256"   917880  1219045  1248819  1280084  1673001  1334162  1361224 
"512"   1120344  1270094  1236455  1333173  1354190  1347393  1406520  1394645 
"1024"   1113030  1304745  1335165  1324868  1385560  1446211  1416169  1442326  1446211 
"2048"   1774484  1317918  1950570  1429082  1462911  1475476  1434092  1466909  1502575  1449336 
"4096"   1226362  1335519  1331999  1404179  1455081  1518218  1454589  1453973  1494836  1526718  1509282 
"8192"   1205613  1415798  1407332  1414399  1474489  1484362  1472846  1525824  1486996  1534341  1479250  1598141 
"16384"   1270470  1347366  1894779  1469815  1516055  1570701  1594093  1740006  1721912  1562452  1931417  1497488  1583916 
"32768"   0  0  0  0  1891149  1710230  1843808  2041491  1814979  2051854  1836147  1503530  1655196 
"65536"   0  0  0  0  1931165  1957585  2062118  2161978  2107946  2061669  1924971  1665757  1847436 
"131072"   0  0  0  0  2196433  2130491  2197425  2186465  2122381  2131490  2215811  1832428  1836205 
"262144"   0  0  0  0  2144958  2251534  2169724  2211772  2263022  2255895  2205446  1903554  1883232 
"524288"   0  0  0  0  2171701  2232923  2230622  2264245  2291368  2255438  2231344  1912558  1934826 

"Re-writer report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1232453  1392258  1562436  1526887  1690338 
"128"   1526043  1504659  1618028  1705404  1684006  1802755 
"256"   1463250  1952947  1752173  1718521  1683493  2152625  2247235 
"512"   1472083  1741948  1809465  1917728  1854787  2424328  1977778  1917728 
"1024"   1556257  2255990  1818510  2510493  1928757  1976691  1947119  1921852  2000631 
"2048"   2226060  2553635  2612664  2169281  2100328  2737561  2117935  2848305  2295665  2102899 
"4096"   2320724  2571141  2610602  2176373  2161314  2441083  2387152  2222261  2176373  2585847  2415003 
"8192"   1891867  1861831  1888021  2249880  2745307  2349254  1937090  2343805  1903290  2511345  1933928  2022254 
"16384"   2093012  1763041  2377276  1986180  1987156  2150117  2603522  2599386  2668426  2117911  2208436  1866727  1834534 
"32768"   0  0  0  0  2290962  2573676  2208677  2292758  2709448  2414394  2689196  1885726  2009200 
"65536"   0  0  0  0  2443102  2529664  2588820  2686117  2585144  2703527  2387381  2177133  2139963 
"131072"   0  0  0  0  2575284  2627433  2639556  2685353  2702740  2691414  2679529  2182091  2270866 
"262144"   0  0  0  0  2674203  2687748  2754682  2731659  2695649  2699341  2694512  2251691  2220299 
"524288"   0  0  0  0  2346804  2799681  2784325  2821771  2744488  2759732  2680739  2252987  2276563 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   3022727  4564786  4018152  4564786  5860307 
"128"   2969325  4596273  4267461  4717434  4889281  5545860 
"256"   4117018  4572895  4652146  4755158  5022044  5117791  6719046 
"512"   3736016  4099771  4742616  4131319  5699180  6104175  5278892  9468384 
"1024"   4374559  5950309  4826859  5782087  7485055  6441107  5151040  5630486  9464330 
"2048"   5535444  5475461  5920802  5884299  6243566  6114678  5376082  6171791  6416117  9228493 
"4096"   5640500  6659365  6252213  6680080  6389405  6263611  6595451  6077484  6605595  6769576  5784846 
"8192"   4676190  4946832  6989645  6855760  6775991  5410295  5595314  5414558  4938300  5162371  5224380  4824582 
"16384"   4527330  5027467  5529493  5960159  5264728  5444935  4787877  5385620  5363343  5483167  5403831  3964248  4213125 
"32768"   0  0  0  0  5922355  5371687  5676995  5175086  4835857  4804750  4996725  4318475  3922814 
"65536"   0  0  0  0  6419410  5236586  5082631  5459906  5340773  5692844  5043556  4033969  4014468 
"131072"   0  0  0  0  6054992  6273473  6125972  5899629  6267751  5860323  5665786  4210210  4109100 
"262144"   0  0  0  0  6893066  6773402  6085920  6076167  6140059  6316570  6114859  4333327  4241406 
"524288"   0  0  0  0  5538406  6750195  54397  6102485  6170413  6221071  6046724  4323604  4069101 

"Re-Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   4564786  5283570  4897948  4897948  5860307 
"128"   4267461  5325799  4759253  4934216  5847904  5784891 
"256"   4132864  5022044  4652146  4652146  5810112  5810112  6936061 
"512"   4610256  5067142  4973263  5067142  6491676  8808176  5886650  9638369 
"1024"   5226256  6692005  5853003  8610501  8750850  8122014  5958564  6918376  9485232 
"2048"   6097316  6711905  7503399  7582884  8830061  8464610  6759439  8793903  7470770  9140117 
"4096"   7585581  8788530  5304384  7555557  7715028  8224733  6131713  7788478  8276241  7863339  5859825 
"8192"   5309142  5468852  8990446  9133841  9526362  6365501  7320230  5424817  5637544  5592582  5432536  4421075 
"16384"   4379601  5179805  4834359  5914504  6606494  7019493  4716244  5391536  4880712  4942138  6820923  4240161  4262252 
"32768"   0  0  0  0  6974895  4801057  6284415  4938729  6222390  5743661  6435370  4679759  4174708 
"65536"   0  0  0  0  7088171  6731955  6292444  6358380  6413868  6323421  6296191  4173238  4147610 
"131072"   0  0  0  0  7093824  6712705  6251359  6271111  5699561  6450730  5804266  4307053  4095234 
