Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-1.local) 	03/20/2015 	_x86_64_	(48 CPU)

11:26:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:26:57 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   16    0.00    0.00    0.00   20.00    0.00    0.00    0.00    0.00   80.00
11:26:57 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   24    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
11:26:57 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:57 PM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:26:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:26:58 PM  all    1.44    0.00    0.06    0.00    0.00    0.00    0.00    0.00   98.50
11:26:58 PM    0   34.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00   65.66
11:26:58 PM    1   34.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00   65.66
11:26:58 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   10    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
11:26:58 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   24    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00   97.03
11:26:58 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   45    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   46    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:58 PM   47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:26:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
11:26:59 PM  all    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.00   99.98
11:26:59 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   13    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
11:26:59 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   36    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   38    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:26:59 PM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
