CPU;;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr;%usr
20;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,01;0;0;0;0;0;1,02;0;0;0;0;0;0
21;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;100;100;100;100;100;100;100;99,01;100;100;100;100;100;100;100;100;100;100;100;100;100;30;0;0;0;0;0;0;0;0;0;0
25;;0;2,02;74,26;100;99,01;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;99;100;100;100;85,15;99,01;100;100;100;100;100;100;100;100;100;100;100;100;41,84;0;0;16,83;100;99,01;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;99,01;100;99,01;100;42,42;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,99;5,05;100;100;100;100;100;100;100;100;100;99,01;100;100;91,09;100;100;100;100;100;100;100;100;100;100;100;99,01;100;100;100;42,42;0;0;5,94;100;100;100;100;27;0;0;0;0;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,01;0;0,99;0;0;0;0;0;1,01;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;;0;1,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;100;91;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;99,01;100;100;100;43;0;0;2,04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
