Linux 2.6.32-279.14.1.el6.x86_64 (compute-662-1.local) 	03/20/2015 	_x86_64_	(48 CPU)

01:34:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
01:34:13 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   25   74.26    0.00    8.91    0.00    0.00    0.00    0.00    0.00   16.83
01:34:13 AM   26    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:34:13 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   36   11.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00   83.00
01:34:13 AM   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   38    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01:34:13 AM   39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   40    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   42    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:34:13 AM   44    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
