compute-431-5
	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Thu Apr 30 22:49:07 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 431_5.xls -f 431_5.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
"512"   4099771  5684095  4742616  5566231  5822804  6104175  5566231  5951911 
"1024"   5751117  5536137  7811791  6059442  8457895  6059442  10354166  10662628  10769573 
"2048"   7419150  9140117  6020395  6563185  7609754  7969835  9990553  9101380  10503637  5937172 
"4096"   4196552  6449370  6112079  6351609  7599002  9081201  6649056  7015611  7568872  6595451  5721272 
"8192"   4331893  7249187  5361332  9660279  7334293  6395120  6496691  5372229  5374750  5703991  6623173  4779617 
"16384"   3772519  4825871  5129541  4702688  7116907  4434142  4807640  5354150  7099261  4918439  6139062  5380982  4452241 
"32768"   0  0  0  0  6426343  6116878  6359144  6522409  6513445  6736937  5379677  4936423  4437693 
"65536"   0  0  0  0  7373372  6979288  6515113  6577945  6639914  6688709  6526096  4614615  4404896 
"131072"   0  0  0  0  7425339  7061295  6565047  6610120  6653077  6425698  4703639  4674444  4405631 
"262144"   0  0  0  0  6437240  6710607  4774842  5047641  5083769  5119012  5046297  4945741  4475730 
"524288"   0  0  0  0  7324808  6966632  5307947  6581816  6620636  6699053  5064413  4684775  4399420 

"Random read report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   3022727  4018152  4564786  4897948  4988978 
"128"   3277486  3468030  4717434  4444086  4759253  5603747 
"256"   3087188  4572895  4907284  5347168  5687020  5569035  5569035 
"512"   3459188  4571003  4411377  5509113  5807059  5624545  4827914  5822804 
"1024"   5336651  4594502  6963241  5417427  8000971  5593820  8000971  7883484  10134284 
"2048"   5416763  6675393  5119743  6359119  5659442  7393606  9015410  8820994  10607402  5920802 
"4096"   3407483  5306022  5482110  6068897  7249484  8730470  6605595  7001316  7486415  6625976  5674032 
"8192"   3142235  6325656  5010310  9547539  7735533  6542461  6748045  5490700  5732541  5785631  5801260  5855636 
"16384"   3943320  5089650  7189127  6321470  7760698  4747523  4954252  5211229  7490836  5561265  6692713  5157259  4429283 
"32768"   0  0  0  0  7291653  6901345  6618522  6630336  6676394  6696889  6449261  4845916  4419286 
"65536"   0  0  0  0  7167087  6878171  6462423  6576529  6605132  6654703  6413868  4570116  4398412 
"131072"   0  0  0  0  7195021  6946465  6509390  6571404  6631489  6379172  4644470  4763138  4397525 
"262144"   0  0  0  0  7154980  6563119  4737664  5029907  5061070  5103733  4998079  4923638  4479249 
"524288"   0  0  0  0  7081041  6796237  6478694  6522624  6602130  6678829  5060940  4665067  4394664 

"Random write report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   1599680  1768283  2067979  1933893  2006158 
"128"   1684006  2098744  2175277  2098744  2420455  2058509 
"256"   1814348  2170027  2205688  2486631  2509882  2943325  2463808 
"512"   1741948  2114069  2394591  2497638  2600470  2449212  2535981  2486072 
"1024"   2884840  2182617  3304314  2553783  3291652  2586074  3281592  4379019  4531485 
"2048"   2639154  3357009  2547576  2925920  2612664  3379461  4462754  3938881  4562305  2572756 
"4096"   1770061  2494606  2544108  2705573  2723588  3908241  2935823  3049966  3237937  2903080  4315676 
"8192"   1700656  2824752  2255492  4154339  3372633  3007204  3009575  3047479  3000639  2589122  2562284  3160444 
"16384"   2481671  2842019  3040845  3221305  3355311  2983806  3540086  2314191  3600931  3548678  3373263  2896280  2659751 
"32768"   0  0  0  0  3173024  3257556  3330093  3328399  3312276  3328077  3248241  2684574  2638145 
"65536"   0  0  0  0  3227865  3304225  3291446  3367371  3361853  3365145  3296419  2628805  2629107 
"131072"   0  0  0  0  3224245  3353686  3308716  3387056  3356000  3268954  2712354  2705081  2657098 
"262144"   0  0  0  0  3224716  3261147  2816633  2901975  2926001  2862463  2851897  2912522  2653576 
"524288"   0  0  0  0  3215290  3310337  3357616  3350985  3377252  3373165  2865334  2666433  2643594 

"Backward read report"
